,Stock,MCCode,StockCode,Link,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,ACC LIMITED                         ,ACC,ACC,https://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
1,ADANI ENTERPRISES LIMITED           ,AE01,ADANIENT,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
2,ADANI PORT & SEZ LTD                ,MPS,ADANIPORTS,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
3,AMARA RAJA BATTERIES LTD.           ,ARB,AMARAJABAT,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/amararajabatteries/ARB,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
4,AMBUJA CEMENTS LTD                  ,GAC,AMBUJACEM,https://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
5,APOLLO HOSPITALS ENTER. L           ,AHE,APOLLOHOSP,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedical-services/apollohospitalsenterprises/AHE,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
6,APOLLO TYRES LTD                    ,AT,APOLLOTYRE,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
7,ASHOK LEYLAND LTD                   ,AL,ASHOKLEY,https://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/ashokleyland/AL,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
8,ASIAN PAINTS LIMITED                ,API,ASIANPAINT,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
9,AUROBINDO PHARMA LTD                ,AP,AUROPHARMA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
10,AXIS BANK LIMITED                   ,UTI10,AXISBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
11,BAJAJ AUTO LIMITED                  ,BA06,BAJAJ-AUTO,https://www.moneycontrol.com/india/stockpricequote/auto-23-wheelers/bajajauto/BA10,,,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
