Option Symbol,Book Value,Market Value,Book/Market,EPS,Company P/E,Industry P/E
ACC       ,613.52,1396.4,0.4393583500429676,61.62,22.66,26.53
AMBUJACEM ,111.83,222.45,0.5027197122948978,7.77,28.63,26.53
APOLLOHOSP,286.69,1661.95,0.1725021811727188,33.8,49.17,49.92
APOLLOTYRE,134.47,133.55,1.0068888056907523,5.33,25.06,19.39
ASHOKLEY  ,24.67,70.5,0.34992907801418444,0,0,38.04
BAJAJ-AUTO,688.59,3014.15,0.2284524658693164,155.59,19.37,18.48
AUROPHARMA,222.3,868.9,0.2558407181493843,38.52,22.56,36.69
BAJAJFINSV,222.16,6545.55,0.033940616143792346,41.94,156.07,31.21
BAJFINANCE,527.95,3670.8,0.14382423449929171,76.77,47.82,31.21
FEDERALBNK,72.79,60.45,1.2041356492969397,7.82,7.73,27.33
BEL       ,40.44,112.05,0.3609103078982597,6.74,16.62,14.71
BERGEPAINT,27.03,564.3,0.04790005316321106,6.02,93.74,67.99
BHARATFORG,115.02,502.25,0.2290094574415132,5.22,96.22,43.02
BHEL,83.8,41.65,2.012004801920768,0,0,15.47
BOSCHLTD  ,3142.84,14007.65,0.22436597145131412,84.56,165.65,46.12
BPCL      ,154.05,415.05,0.37116010119262743,16.98,24.44,39.86
CHOLAFIN  ,99.7,249.75,0.3991991991991992,14.26,17.51,31.21
CADILAHC  ,109.99,388.85,0.28285971454288283,18.16,21.41,36.69
ADANIENT  ,34.2,288.25,0.11864700780572421,1.35,213.52,36.71
COALINDIA ,27.28,139.05,0.19618842143113988,18.31,7.59,8.25
CUMMINSIND,150.61,471.75,0.3192580816110228,19.49,24.2,18.08
DIVISLAB  ,275.61,3272.85,0.0842110087538384,60.18,54.38,36.69
EICHERMOT ,303.07,2213.6,0.13691272135887242,51.93,42.63,38.04
ESCORTS   ,259.01,1141.1,0.22698273595653318,36.36,31.38,25.57
CIPLA     ,215.83,748.6,0.28831151482767836,27.71,27.02,36.69
GAIL      ,96.92,99.1,0.9780020181634713,12.31,8.05,6.96
GLENMARK  ,468.74,493.95,0.9489624455916591,56.32,8.77,36.69
GODREJCP  ,50.15,670.95,0.07474476488560995,11.85,56.62,68.9
DABUR     ,25.35,489.1,0.0518298916377019,6.8,71.93,68.9
GODREJPROP,199.73,902.9,0.22120943626093698,7.51,120.23,17.6
GRASIM    ,572.62,701.15,0.8166868715681381,12.15,57.71,31.87
ADANIPORTS,96.95,360.05,0.2692681572003888,8.52,42.26,48.22
HAVELLS   ,68.76,639.25,0.10756355103637076,9.94,64.31,46.8
HCLTECH   ,137.44,706.45,0.19455021586807275,35.14,20.1,23.35
ASIANPAINT,98.55,1958.1,0.05032940094990041,23.49,83.36,67.99
AXISBANK  ,310.28,509.2,0.6093479968578162,4.47,113.91,27.33
BANDHANBNK,94.36,320.05,0.29482893297922197,17.2,18.61,27.33
